AD000092_cds7_s_at	150	1	135	148.6	1	39.5	37.9	1	1	110.8	1	1	164.8	10.5	138.8	237.7	145.9	336.4	1	52.9	19.1	124.4	119.2	196.2	205.4	228.9	264.2	31.9	1	1
AD000684_cds1_at	415.8	157.8	470.4	549.5	160.1	426.6	354.9	445.7	519.4	552.5	144.4	341.3	120.1	203.6	439	782.7	740.4	495.1	103.7	300.1	71	635.1	437.6	517.9	773.3	820.5	282.8	386.8	352.9	227
AF000177_at	177.9	155	284	181.5	1	198.9	33.3	128.7	95.3	120	170.9	114.8	123.1	110.5	106.5	679.5	142.2	116.4	63.6	111	93.3	146.8	31.4	218.3	96	161.2	110.2	89.5	104.4	86.7
AF000231_at	141.9	135.4	55.9	224.3	130	104.8	159.2	114.9	58.6	62.3	1	118.4	49.6	113.3	1	44.8	82.2	58.4	1	48.6	39.1	232.6	219	187.5	140.4	209.1	123.9	155.5	174	148.8
AF000562_at	383	982.5	518.1	2469.2	336.3	890	598.5	869.7	2839.4	3928.2	1061.2	1170.3	1	1724.9	1	363.7	1514.7	1	1	1	461.1	426.4	1159.5	481.3	1485.6	645.9	1	1130.9	1	884.8
AF001548_rna1_at	865.6	413.6	83.9	1	1	37.9	2266.6	1	60	135.5	275.7	215.5	62	327.4	139.4	683.5	467.6	305.5	511.9	115.3	6282.7	668.8	630.4	18.6	1	65.3	686.2	1	1	1
AF002020_at	123.8	37.4	1	1	1	1	1	1	51.1	1	1	1	111.8	94.4	81.3	1	79.8	1	104.4	68.2	99.2	97.2	72.2	57.3	82.9	93.4	129	1	59.3	1
AF005037_at	64.6	30.3	1	79.1	1	1	9.2	1	1	47.4	1	55.5	33.7	37.7	1	20.1	37	1	1	1	32.7	49.6	54.3	212.6	56.2	138.8	39.6	1	73.4	1
AF005043_at	37.9	31.3	1	42.6	1	1	1	19.7	1	1	1	25.6	49.2	26.2	1	21.7	31.9	42.4	1	1	23.9	68.4	31.4	34.8	1	27.9	24.6	1	31.9	1
AF005775_at	145.7	190.1	99.7	94.7	239	137.8	113.9	183.3	128.2	1	1	98.7	118.7	107.4	228.8	84.1	155	119.4	228.6	300.3	256.1	189.9	98.2	123.4	176.4	128.6	287.1	105.9	125.1	1
AF005887_at	141.4	89.1	1	121	1	1	1	153.1	40.8	1	1	77.9	67	45.7	53.5	68.1	95.2	49.4	1	50.9	1	87	52.4	98.5	77	136.1	127.7	42	93.8	1
AF006041_at	234.9	143	161.7	223.8	1	68.2	147.8	186.8	333.3	104.5	1	149.5	264.3	260.9	205.5	133.6	216.4	307.4	224.6	144	122.9	201	129.7	227.6	257.3	229.5	168.4	5.8	129.7	210.7
AF006084_at	489.3	451.8	177.2	317.4	313.4	240.3	378.8	229.3	246.4	253.9	1	237.3	136.6	517.2	808.9	564.4	329.5	362.1	630.4	720.5	451.1	427.6	186.1	391.3	293	318.3	605.8	570.2	393.8	244.6
AF006087_at	123.7	1	165.4	273.1	241	160.8	152.7	178.7	172.1	106.6	1	247.5	102.5	151.8	144	118.8	143.9	122.5	70.4	107.5	144.2	88.5	157.3	372.1	171.1	233.4	321.2	297.9	350.6	65.05
AF007551_at	63.2	1	1	90.6	1	82.5	1	80.3	63.9	1	1	1	1	66.9	106.9	1	31.4	1	1	86.2	1	110	57.7	113.5	88.8	59.5	79.4	114.3	120.9	1
AF007875_at	210.5	215.5	216.7	145.5	240.2	145.8	165.2	171.1	252.2	175.4	123.3	1	165.2	242.4	133.2	120.4	217.4	102.8	336.2	303.6	121.7	300.2	233.9	317.2	166.1	223.7	170.4	140.1	184.3	167.6
AF008445_at	310.7	1	442.6	1	1	79.05	107.4	195.3	116	148.4	1	73.6	71.1	135.4	301.2	562	153.8	405.6	254.6	439.4	345.4	303.4	356	110.7	97.3	275.8	194.2	253.2	570.4	188.1
AF008937_at	53.7	68.9	91.1	52.6	1	1	109.1	86.7	80.5	81.6	1	144.5	75.6	118.2	1	1	62.8	1	1	1	15	22.3	69.1	119.7	134.3	103	84.6	68.8	110.6	1
AF009301_at	145.7	89	231.4	1	1	100.4	96.3	148.3	974.3	116.9	262	103.9	268.6	121.8	1	94.9	112.4	146.9	1	66.1	56.1	132.1	120.3	197.6	220.5	92.8	160.3	45.9	123.3	1
AF009368_at	199.6	1	240.3	206	1	278.1	225.7	212.4	250.2	1	410.8	350.6	221.3	257.5	304.6	288.2	223.2	310.6	1	212.8	256	153.7	147.3	203.3	178.3	212.7	268.2	177.7	158.5	243.2
AF010193_at	224.7	128.9	97.7	30.75	1	308.2	110.1	66.2	51.4	114.1	316.2	251	1	130.7	1	69.7	94.7	1	1	32.7	1	98.4	203.4	156.9	179.7	299.7	122.3	107.2	1	139.1
AF012024_s_at	39.3	71.2	1	1	1	37.2	1	1	55.8	50.3	1	42.7	26.1	21.7	1	59.2	20.1	1	30.4	18.3	1	84.9	81	53.9	1	73.3	30.1	1	43.8	1
AF015913_at	276.4	208	497.2	110.1	1	236.1	236.2	221.4	188.8	210.8	1	294.4	328.5	251.8	156	261.9	298.3	165.3	246.3	90.6	156.1	265.9	294.2	396.8	264.8	426.7	176	168.6	315.1	176.4
AFFX-BioB-3_at	46.1	398.5	147.7	199.7	1	147.7	146.5	164.5	198.8	1	361.2	489.1	212.6	148.3	208.9	211.2	218.1	416.2	470.9	158.6	400.3	48.1	141.4	54.3	227.4	74.2	106.7	95	100.8	1
AFFX-BioB-5_at	86.4	514.7	266	231.1	1	202.4	230.2	228.5	1	197.5	505.2	665.6	326.8	257.6	201.9	246.3	298	466.8	440.4	222.8	541.4	100.3	196.2	87.7	319	129.3	172.3	223.7	108.8	1
AFFX-BioB-M_at	87.8	495.2	157.3	246.5	208.5	229.3	220.5	178	170	129.4	486.5	593.6	293.5	228.9	284.3	281	364.9	385.6	425.4	207.5	485.1	96.9	197.1	89.4	308	114.1	182.6	142.1	101.9	1
AFFX-BioC-3_at	158.9	917.9	460.4	576.8	417.9	472.6	400.3	484.8	394.3	279.1	984.7	1072.9	597.2	493.9	512.2	580.9	545.7	845.5	644.8	435	863.2	168.3	408.2	163.8	536.2	248.3	301.8	313.4	160.2	143
AFFX-BioC-5_at	182.7	914.7	386.9	536.6	537.5	494.5	440.1	536	397.4	367.6	944.7	1080.6	511.6	439.5	555.8	520.9	600.1	802.9	681.7	394.2	834.4	187.2	360.9	167.6	621.9	246.5	289.7	334.5	257.2	237.6
AFFX-BioDn-3_at	541.2	2718.9	1519.1	1966	1806.6	1575	1410.5	2197.9	1216	1276.7	2785.6	2914.9	2010.9	1608.1	1556.6	1917.6	1950.5	2923.5	2195.7	943.7	3890.6	510.9	1058.2	568.8	1431.5	728.9	930.9	919	749.5	749.9
AFFX-BioDn-5_at	156	686.5	267.1	331.5	204.7	305.6	241.5	455.4	276.8	187.3	777.5	911.1	454.2	327.3	320	380.5	350.8	576.2	427.7	174.8	719.7	124.1	316.7	159	498.5	242.6	227.9	144.3	149.2	83.3
AFFX-CreX-3_at	1134.3	5954.5	3369.2	3945.3	3162.1	3686.1	3159.6	3597.7	3895.6	3031.1	7060.1	8241.1	3890	3698.9	2786.5	3673.1	4432.7	5487.1	5178.7	2066.2	6596.6	1096.5	2235.9	1276.3	2553.1	1607.2	1831.8	2028.8	1993.7	1886.3
AFFX-CreX-5_at	954	5395.1	2602.1	3380.7	2365.9	2999	2541.7	3172.8	2500.4	2170.3	5599.5	6373.6	3432.6	2966	2456.2	2974.8	3790.7	4880.7	3004	1532.8	5553.8	1004.9	2033.3	1096.1	2544.6	1457	1645.1	1395.7	1568.4	1359.2
AFFX-HSAC07/X00351_3_at	743	5148.1	3126.4	3415.6	3622	3778.3	3776.6	3790.2	4409.3	5088.6	5848.9	7370.3	3885.4	4159.3	2623.9	3929.7	4325.3	5324.4	6761.3	2572.4	6700.7	707.8	1525	974.3	2279.1	1346.6	1299.5	2641.9	2378.3	2464.9
AFFX-HSAC07/X00351_3_st	153.9	264.7	161.8	187.6	122.4	214.7	188.8	251.1	210.6	238.3	371.9	178.6	291.5	223.9	212.7	183.6	223.6	265	303	289.8	266.9	101.5	150.1	112.6	171.6	151.9	174.9	155.4	111.6	193
AFFX-HSAC07/X00351_5_at	808.1	4825.7	2759.9	3771.2	3661.2	4272.2	3982.2	3592.3	2596.8	5974.6	923.6	4772	4186.7	3958.5	3011.3	3874.7	4226.6	4625.4	5942.5	2713	4948.9	750.7	1665.9	952.7	1795.2	1263.4	1436.6	2779.4	2463	2864.9
AFFX-HSAC07/X00351_M_at	593.9	5625.3	3638.3	4208.4	3522.7	4976.4	4599.9	4293.3	3837.1	7238.1	1134.3	6733.7	4945.4	5054.3	3405.6	4736.5	4304.6	6036.5	8217.9	3319.5	7143.8	677.4	1579.2	728.5	2250.7	1237.2	1492.1	3068.5	2765.3	3196
AFFX-HUMGAPDH/M33197_3_at	914.5	4691.4	3475.1	4095.4	5066	4025.2	4111.1	4322	5982.6	6605	7212.4	6057	3980.7	4300.7	3099.6	4064.9	4616.9	6634.7	6061.4	3165	6185.4	897.2	1741.5	997.1	1920.2	1374.7	1539.2	2605.5	2287.8	2731.1
AFFX-HUMGAPDH/M33197_3_st	3.8	1	75.8	118.4	1	120.3	96.2	79.4	31.65	1	1	1	96.8	1	90.2	1	44.6	116.6	81.6	38.8	1	18.7	26.1	17.2	1	17.1	8.55	82.9	25.9	1
AFFX-HUMGAPDH/M33197_5_at	1324.8	3156.3	3720.6	5260	4245.8	5222.6	5059.9	3609.2	5933	6525.4	3985.1	4293.6	5221.8	4486.2	4031.6	3958.8	3520.8	7392.2	4693.9	3617.4	3751	1117.2	2665.9	1230.5	2837.8	1495.7	1530	3837.7	3316.2	3898.7
AFFX-HUMGAPDH/M33197_M_at	810.8	3200.3	2885.9	3663.8	3660.1	3609.3	3500.6	3281.2	5558.5	5688.1	5066.2	5163.7	3600.9	3536	2704.8	3067.1	3685.2	5373.3	4836.8	2730.1	4985.4	800.3	1604	881.3	1800.6	1066.5	1299.7	2468.4	2131	2497
AFFX-HUMISGF3A/M97935_3_at	512.4	400.2	316	365.2	277	505.9	240	301.7	142.8	222.1	1	179.6	279.1	210.5	459.3	243.6	333.5	493.5	665.2	771.4	153.2	522.1	320.2	469	622	299.8	709.4	146	629.5	353.9
AFFX-HUMISGF3A/M97935_MB_at	227.1	159	73.9	99.8	1	192.4	71.3	68.8	40.4	1	1	74	71.1	65.1	129.2	56.8	116.9	109.3	274.3	159.4	34.1	169.7	48	181.3	184.5	120.8	239.3	37.2	411.5	95.8
AFFX-HUMRGE/M10098_3_at	36.3	362.9	114	331.3	298.6	47.9	616.9	431.3	274.5	222.9	146.4	1	1	1	587.5	1	1	1	1	366.6	1	38.1	478.7	342.2	149.1	725.3	383.8	1	759.6	1108.2
AFFX-HUMRGE/M10098_5_at	8.95	234.3	26.75	83.1	1	1	158.9	155.1	126.1	150.9	194.7	1	1	1	356	1	1	1	1	201.3	1	1	616.6	133	242.5	652.3	732.3	1	385.6	513.3
AFFX-HUMTFRR/M11507_3_at	83	1	1	67.8	1	224.4	113.3	331.3	59.3	65.5	1	189.9	63.7	27.3	74.4	45.5	86	47.6	64.1	66.8	45.5	93	42.3	145.5	214.2	281.6	97	1	1	78.4
AFFX-HUMTFRR/M11507_5_at	51.6	72.1	77.7	59.1	1	107.2	95.4	202.4	1	74.4	1	79.8	67.5	48.7	52.5	34.2	86.4	33.7	89.7	42.9	1	21.1	35.8	109.8	130.7	162.1	55	52.2	60.9	1
AFFX-M27830_5_at	293.6	1701.4	837.9	794.9	546.2	409.3	1576	2040.2	4086.3	2095.7	1984.4	954.4	192.3	291.7	2922.6	183.2	1754.4	122.6	77.2	1950	70.1	58.6	678.6	211.1	516.5	707.5	2414.5	432.7	1838.8	1368.4
AJ000099_s_at	349.5	1009.7	355.7	244.2	316.8	353	377.9	443.4	345.8	344.4	814.6	407.4	218.2	255.9	308.9	320.3	384.4	290.4	642.2	204.4	248	433.7	267.6	328.9	342.1	286.9	291.3	486.2	378.6	430
AJ000480_at	160	237.3	1	176.9	1	301.6	229.2	120.8	130	263.8	1	264.4	1	196.7	106	130.1	188.6	166.3	256	87	364.4	74.5	156.2	161	492.1	203.5	208.9	107.5	151.6	1
AJ001421_at	764.6	458.6	827.2	971.2	487.6	642.8	631	411.4	916.8	1114.6	395.5	673	530.8	939.6	278.2	749.6	1210.4	442.2	775.9	237	425.5	599.7	924	858.2	1027.3	846.6	652.6	637.6	665.9	576.9
D00017_at	924.3	2152.4	1115	1798.8	3731	2197.8	2983.6	1269.9	1686.3	2681.9	2380.3	1971.4	1133.7	2490.9	1750.1	1581.7	1911.5	1058	3455.1	2166.4	2460.1	875.9	973.6	1053.9	780.7	1083.2	1051.6	1627.7	1383	1260.8
D00408_s_at	254.6	256	113.4	63.6	1	93.9	126.3	1	223.3	447.4	1	398.3	1	236.8	10.4	96.8	80.2	60.2	66.8	1	67.4	17.1	271.9	152.5	47.55	416.1	42.7	193.2	132.3	315.4
D00596_at	320	1	332.1	343.4	1	192.4	1	206.9	371.9	100.7	1	140.6	897.3	110.9	262.3	458.1	2162.7	337.1	194.3	122.6	45.1	376.4	175.4	125.2	266.4	270.3	251.4	24.7	78.7	1
D00632_at	329.9	186.1	166.6	1	1	107.2	350.2	1	80.3	1	326.5	130.1	74	1259.2	96.1	174.7	105.3	120	522.2	66.9	907.9	72.6	52	1111	1	67.3	153.4	1	1	1
